Designator,Footprint,Quantity,Comment,LCSC Part #
R7,R_0603_1608Metric,1,27R,C25190
R4,R_0603_1608Metric,1,27R,C25190
K_2,MX-1U-NoLED,1,KEYSW,
K_7,MX-1U-NoLED,1,KEYSW,
K_34,MX-1.75U-NoLED,1,KEYSW,
K_32,MX-1U-NoLED,1,KEYSW,
K_62,MX-2.25U-ReversedStabilizers-NoLED,1,KEYSW,
K_63,MX-1U-NoLED,1,KEYSW,
K_57,MX-1U-NoLED,1,KEYSW,
K_60,MX-1U-NoLED,1,KEYSW,
K_1,MX-2U-NoLED,1,KEYSW,
K_48,MX-2.75U-NoLED,1,KEYSW,
K_46,MX-2.25U-ReversedStabilizers-NoLED,1,KEYSW,
K_42,MX-1U-NoLED,1,KEYSW,
K_26,MX-1U-NoLED,1,KEYSW,
K_4,MX-1U-NoLED,1,KEYSW,
K_8,MX-1U-NoLED,1,KEYSW,
K_33,MX-1U-NoLED,1,KEYSW,
K_10,MX-1U-NoLED,1,KEYSW,
K_18,MX-1.5U-NoLED,1,KEYSW,
K_25,MX-1U-NoLED,1,KEYSW,
K_13,MX-1U-NoLED,1,KEYSW,
K_70,MX-1.5U-NoLED,1,KEYSW,
D1,LED_D3.0mm,1,LED_1,
K_41,MX-1U-NoLED,1,KEYSW,
K_12,MX-1U-NoLED,1,KEYSW,
K_53,MX-1U-NoLED,1,KEYSW,
K_27,MX-1U-NoLED,1,KEYSW,
K_39,MX-1U-NoLED,1,KEYSW,
K_23,MX-1U-NoLED,1,KEYSW,
K_36,MX-1U-NoLED,1,KEYSW,
K_44,MX-1U-NoLED,1,KEYSW,
K_64,MX-1.5U-NoLED,1,KEYSW,
K_65,MX-1.5U-NoLED,1,KEYSW,
K_20,MX-1U-NoLED,1,KEYSW,
K_50,MX-1U-NoLED,1,KEYSW,
D3,LED_D3.0mm,1,LED_3,
K_29,MX-1U-NoLED,1,KEYSW,
K_55,MX-1U-NoLED,1,KEYSW,
K_16,MX-1U-NoLED,1,KEYSW,
K_47,MX-1.5U-NoLED,1,KEYSW,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
K_17,MX-1U-NoLED,1,KEYSW,
K_69,MX-1.5U-NoLED,1,KEYSW,
K_15,MX-1U-NoLED,1,KEYSW,
K_71,MX-1U-NoLED,1,KEYSW,
K_45,MX-1U-NoLED,1,KEYSW,
K_54,MX-1U-NoLED,1,KEYSW,
K_24,MX-1U-NoLED,1,KEYSW,
K_31,MX-1U-NoLED,1,KEYSW,
K_59,MX-1U-NoLED,1,KEYSW,
K_38,MX-1U-NoLED,1,KEYSW,
K_14,MX-1U-NoLED,1,KEYSW,
K_3,MX-1U-NoLED,1,KEYSW,
K_22,MX-1U-NoLED,1,KEYSW,
K_43,MX-1U-NoLED,1,KEYSW,
K_68,MX-2.75U-ReversedStabilizers-NoLED,1,KEYSW,
K_61,MX-1.75U-NoLED,1,KEYSW,
