Designator,Mid X,Mid Y,Rotation,Layer
R7,151.81,-49.21,-90.0,bottom
R4,153.32,-49.21,-90.0,bottom
K_2,8.23,-0.0,0.0,top
K_7,108.073711,-7.920717,-12.0,top
K_34,25.4,-40.239999,0.0,top
K_32,30.162319,-40.24,0.0,top
K_62,112.93,-86.86,-12.0,top
K_63,143.25,-93.3,-12.0,top
K_57,208.666288,-64.810717,12.0,top
K_60,266.85,-59.29,0.0,top
K_1,297.105,-2.14,0.0,top
K_48,302.57,-59.289999,0.0,top
K_46,303.16,-40.24,0.0,top
K_42,214.026288,-44.200717,12.0,top
K_26,205.406288,-26.550717,12.0,top
K_4,50.3,-2.139999,0.0,top
K_8,126.707423,-11.881435,-12.0,top
K_33,0.0,-38.099999,0.0,top
K_10,173.498864,-13.862153,12.0,top
K_18,31.85,-21.189999,0.0,top
K_25,186.772576,-30.511435,12.0,top
K_13,229.4,-1.98,12.0,top
K_70,310.7956,-78.387999,0.0,top
D1,-5.24,-75.49,180.0,top
K_41,195.392576,-48.161435,12.0,top
K_12,210.766288,-5.940717,12.0,top
K_53,119.477423,-68.771435,-12.0,top
K_27,224.04,-22.589999,12.0,top
K_39,132.761135,-52.122153,-12.0,top
K_23,132.061135,-32.492153,-12.0,top
K_36,76.86,-40.24,-12.0,top
K_44,253.159999,-40.24,0.0,top
K_64,23.62,-78.339999,0.0,top
K_65,77.4,-80.84,-12.0,top
K_20,76.16,-20.61,-12.0,top
K_50,61.71,-59.289999,0.0,top
D3,-5.255,-84.67,180.0,top
K_29,263.17,-21.189999,0.0,top
K_55,171.398864,-72.732153,12.0,top
K_16,287.58,-2.14,0.0,top
K_47,306.04,-21.19,0.0,top
J1,159.37,12.6,180.0,top
K_17,4.07,-19.049999,0.0,top
K_69,232.109999,-80.84,12.0,top
K_15,268.53,-2.14,0.0,top
K_71,319.23875,-59.289999,0.0,top
K_45,272.21,-40.24,0.0,top
K_54,138.111135,-72.732153,-12.0,top
K_24,168.138864,-34.472153,12.0,top
K_31,306.63,-2.14,0.0,top
K_59,247.8,-59.29,0.0,top
K_38,114.127423,-48.161435,-12.0,top
K_14,249.9,-0.0,0.0,top
K_3,31.25,-2.139999,0.0,top
K_22,113.427423,-28.531435,-12.0,top
K_43,232.66,-40.24,12.0,top
K_68,191.7,-87.899999,12.0,top
K_61,293.045,-59.289999,0.0,top
K_58,227.3,-60.849999,12.0,top
K_52,100.843711,-64.810717,-12.0,top
K_35,56.36,-40.239999,0.0,top
K_49,30.76,-59.289999,0.0,top
K_28,244.54,-20.129999,0.0,top
K_5,68.94,-0.0,0.0,top
K_21,94.793711,-24.570717,-12.0,top
D2,-5.255,-80.08,180.0,top
K_67,140.93502,-92.807935,-12.0,top
K_40,176.758864,-52.122153,12.0,top
K_66,110.638558,-86.368224,-12.0,top
K_56,190.032576,-68.771435,12.0,top
K_51,82.209999,-60.85,-12.0,top
K_11,192.132576,-9.901435,12.0,top
K_19,55.66,-21.189999,0.0,top
K_9,145.341135,-15.842153,-12.0,top
K_30,282.22,-21.19,0.0,top
K_37,95.493711,-44.200717,-12.0,top
K_6,89.44,-3.96,-12.0,top
C13,155.49,-5.08,180.0,bottom
U3,159.0,1.75,90.0,bottom
U1,155.02,-7.6,90.0,bottom
D_50,127.5,-70.15,90.0,bottom
D_60,85.5,-82.15,90.0,bottom
D_9,181.5,-13.15,90.0,bottom
D_11,218.5,-4.65,90.0,bottom
D_39,203.5,-46.65,90.0,bottom
D_29,291.0,-21.15,90.0,bottom
D_27,252.5,-20.15,90.0,bottom
C4,154.55,-9.94,0.0,bottom
D_5,97.5,-5.85,90.0,bottom
D_65,319.5,-78.35,90.0,bottom
D_25,214.0,-25.65,90.0,bottom
J2,149.3,-79.075,-90.0,bottom
D_41,241.0,-38.65,90.0,bottom
D_18,64.0,-21.65,90.0,bottom
D_1,16.82,-0.15,90.0,bottom
R3,163.48,5.51,180.0,bottom
D_8,153.0,-17.15,90.0,bottom
R6,154.61,5.5,0.0,bottom
D_32,39.5,-40.15,90.0,bottom
D_38,185.0,-50.65,90.0,bottom
D_4,77.5,-0.15,90.0,bottom
D_23,176.5,-33.15,90.0,bottom
R5,-1.48,-80.12,180.0,bottom
D_52,179.5,-71.65,90.0,bottom
D_63,213.5,-82.65,90.0,bottom
D_53,198.0,-67.65,90.0,bottom
D_2,39.5,-2.65,90.0,bottom
D_57,275.5,-59.15,90.0,bottom
D_16,12.5,-19.15,90.0,bottom
